RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,7,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,8,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,9,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,10,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,11,23/07/2024
MTM850101AS2,MUNICIPIO DE TANGAMANDAPIO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MTM850101GY5,MUNICIPIO DE TIQUICHEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MMN74010184A,MUNICIPIO DE MINA NUEVO LEON SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MPH850101UL5,MUNICIPIO DE PLUMA HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSA850101N25,MUNICIPIO DE SAN AGUSTIN ATENANGO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSA850101V39,MUNICIPIO DE SANTA ANA ZEGACHE SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSD8501018B2,MUNICIPIO DE SANTO DOMINGO ARMENTA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSM850101IJ9,MUNICIPIO DE SAN MARTIN ITUNYOSO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSM860201IX9,MUNICIPIO DE SAN MIGUEL CHIMALAPA SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MSP8501014G6,MUNICIPIO DE SAN PEDRO EL ALTO SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MCM850101RUA,MUNICIPIO DE CIUDAD DEL MAIZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MNS941202UQ9,MUNICIPIO DE EL NARANJO SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MAP850101PA7,MUNICIPIO DE APULCO ZAC SIN TIPO DE SOCIEDAD,FRACCION VII,2022,12,23/07/2024
MAM8501017A5,MUNICIPIO DE AMATEPEC SIN TIPO DE SOCIEDAD,FRACCION VII,2023,1,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2023,1,23/07/2024
