RFC,RAZON SOCIAL,SUPUESTO,EJERCICIO,PERIODO,FECHA DE PRIMERA PUBLICACION
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MSG850101848,MUNICIPIO DE SOLEDAD DE GRACIANO SANCHEZ SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,9,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MSC850101PSA,MUNICIPIO DE SANTA CATARINA MECHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
ITS021201J65,INSTITUTO TECNOLOGICO SUPERIOR DE LORETO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MLM850101HD2,MUNICIPIO DE LUIS MOYA Z SIN TIPO DE SOCIEDAD,FRACCION VII,2021,10,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSC850101PSA,MUNICIPIO DE SANTA CATARINA MECHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MSM850101AR4,MUNICIPIO DE SANTA MARIA YOSOYUA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,11,23/07/2024
MZA850101LF7,MUNICIPIO DE ZACUALPAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MBM8501014W1,MUNICIPIO DE BUENAVISTA MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MJM850101P52,MUNICIPIO DE JUNGAPEO MICHOACAN SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MCO8501016Z3,MUNICIPIO DE COSOLAPA OAXACA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MSC960101SR8,MUNICIPIO DE SANTA CATARINA ZAPOQUILA SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MUH8501013N8,MUNICIPIO DE UNION HIDALGO SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MCS921222M67,MUNICIPIO DE CARDENAS SLP SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
MLT850101G65,MUNICIPIO DE LERDO DE TEJADA VER SIN TIPO DE SOCIEDAD,FRACCION VII,2021,12,23/07/2024
